,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
89,APPROXIMATE,"3273 Mrzlo Polje, Slovenia",ChIJJadrN--fZUcRJaZ5fFpIlfk,MRZLOPOLJE,46.1048552,15.359306,1,3273,OK,"locality,political"
90,APPROXIMATE,"Mrzović, Croatia",ChIJb9sHVXP3XEcRfLqVmJ2cj88,MRZOVIC,45.3286503,18.5930129,1,,OK,"locality,political"
91,APPROXIMATE,"Mount Lebanon, Lebanon",ChIJ1zmyh1sQIhUR-4tRdYx3f1I,MT. LEBAUN,34.3,36.116667,1,,OK,"establishment,natural_feature"
92,,,,MTA. LIBANA,,,0,,ZERO_RESULTS,
93,,,,MTAYLA,,,0,,ZERO_RESULTS,
94,APPROXIMATE,"Media, PA 19063, USA",ChIJN-1zPAjpxokRzksi9U7ZY54,MTEIA,39.9167783,-75.387693,1,19063,OK,"locality,political"
95,APPROXIMATE,"Mtein, Lebanon",ChIJF9Q-L4E3HxURaJgh_l0NbI8,MTEIN,33.89342060000001,35.7438242,1,,OK,"locality,political"
96,,,,MU(ILEG)TA,,,0,,ZERO_RESULTS,
97,ROOFTOP,"Munich International Airport (MUC), Nordallee 25, 85356 München, Germany",ChIJRW3aI1kTnkcRS89WOoV6xeM,MUC,48.3536621,11.7750279,1,85356,OK,"airport,establishment,point_of_interest"
98,,,,MUC DORJE,,,0,,ZERO_RESULTS,
99,,,,MUC. SPALATO,,,0,,ZERO_RESULTS,
100,APPROXIMATE,"Peer Muchalla, Panchkula, Punjab, India",ChIJ2U1MOYyUDzkRGuE5DS9ALCI,MUCHALA S.,30.6596484,76.867772,1,,OK,"political,sublocality,sublocality_level_1"
101,,,,MUDAGUA,,,0,,ZERO_RESULTS,
102,,,,MUG- SID,,,0,,ZERO_RESULTS,
103,APPROXIMATE,"Maghar, Israel",ChIJt6S78G46HBURuXItzmn4q3o,MUGHAR,32.890704,35.40461,2,,OK,"locality,political"
104,GEOMETRIC_CENTER,"Muhaber, 8000 Novo mesto, Slovenia",ChIJnYCDOy4AZUcRKCrTOyyVKos,MUHABER,45.82295269999999,15.1475798,1,8000,OK,route
105,APPROXIMATE,"Mũi Né, Phan Thiet, Bình Thuận Province, Vietnam",ChIJtZZ8f0yOdjERJAcCwXJrQBo,MUINE,10.9332105,108.2871837,1,,OK,"political,sublocality,sublocality_level_1"
106,APPROXIMATE,"20236, Mokošica, Croatia",ChIJVbQ1gf10TBMRcvQ1U1GtACY,MUKOSICA,42.6747679,18.092449,1,20236,OK,"locality,political"
107,,,,MUKRAVO,,,0,,ZERO_RESULTS,
108,APPROXIMATE,"Mulki, Kilpady, Karnataka, India",ChIJJ78qq1WtvDsRMuC25PTySwg,MULKI,13.0655563,74.7977961,1,,OK,"locality,political,sublocality,sublocality_level_1"
109,GEOMETRIC_CENTER,"Munat, 52204, Ližnjan, Croatia",ChIJM2HU7acuY0cRJdqL5CtcgCE,MUNAT,44.8285021,13.9544245,2,52204,OK,route
